date,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
16-Apr,7,0,5,1,1,0,0,0
17-Apr,7,2,1,4,1,0,6,0
18-Apr,6,0,2,0,6,0,0,0
19-Apr,8,4,0,6,2,0,4,0
20-Apr,3,1,0,3,3,0,6,0
21-Apr,8,3,1,2,2,0,3,0
22-Apr,7,2,0,9,2,0,5,0
23-Apr,18,3,4,1,0,0,12,0
24-Apr,1,1,1,1,2,0,10,0
25-Apr,1,1,2,1,2,0,1,0
26-Apr,8,0,2,14,0,0,4,0
27-Apr,12,4,2,1,4,0,0,0
28-Apr,9,2,9,0,4,0,1,1
29-Apr,15,1,4,3,4,0,0,0
30-Apr,13,2,3,2,1,0,1,0
1-May,4,3,0,2,1,0,0,0
2-May,3,1,0,2,5,0,0,0
3-May,5,1,3,3,3,0,0,0
4-May,7,1,1,2,0,0,0,0
5-May,11,0,0,1,2,0,0,0
6-May,10,2,3,2,3,0,1,0
7-May,5,0,2,3,0,0,0,0
8-May,6,1,2,0,0,0,0,0
9-May,6,6,3,2,0,0,0,0
10-May,6,2,1,0,0,0,0,0
11-May,4,2,0,0,2,0,0,0
12-May,4,0,3,1,0,0,0,0
13-May,5,1,0,0,0,0,0,0
14-May,1,1,0,0,0,0,0,0
15-May,3,1,1,1,0,0,2,0
16-May,3,4,1,0,0,0,0,0
17-May,2,1,1,0,0,0,0,0
18-May,3,0,2,4,0,0,1,0
