date,Total doses (left axis),Per 100 people (right axis)
21-Feb,20,0
22-Feb,"1,836",0
23-Feb,"2,787",0.01
24-Feb,"6,926",0.03
25-Feb,"16,622",0.06
26-Feb,"23,489",0.09
27-Feb,"27,627",0.11
28-Feb,"29,571",0.12
1-Mar,"33,702",0.13
2-Mar,"41,922",0.16
3-Mar,"48,565",0.19
4-Mar,"61,008",0.24
5-Mar,"71,000",0.28
6-Mar,"76,073",0.3
7-Mar,"81,000",0.32
8-Mar,"86,369",0.34
9-Mar,"94,908",0.37
10-Mar,"106,200",0.41
11-Mar,"125,000",0.49
12-Mar,"135,109",0.53
13-Mar,"159,942",0.62
14-Mar,"162,551",0.63
15-Mar,"164,781",0.64
16-Mar,"178,546",0.7
17-Mar,"203,557",0.79
18-Mar,"226,057",0.88
19-Mar,"240,754",0.94
20-Mar,"253,831",0.99
21-Mar,"256,782",1
22-Mar,"281,950",1.1
23-Mar,"312,225",1.22
24-Mar,"358,500",1.4
25-Mar,"408,410",1.59
26-Mar,"460,155",1.79
27-Mar,"474,128",1.85
28-Mar,"507,000",1.97
29-Mar,"541,761",2.11
30-Mar,"613,983",2.39
31-Mar,"670,351",2.61
1-Apr,"744,330",2.9
2-Apr,"823,613",3.21
3-Apr,"828,059",3.22
4-Apr,"843,182",3.28
5-Apr,"844,379",3.29
6-Apr,"855,294",3.33
7-Apr,"920,645",3.58
8-Apr,"996,456",3.88
9-Apr,"1,077,511",4.19
10-Apr,"1,138,866",4.43
11-Apr,"1,166,568",4.54
12-Apr,"1,178,302",4.59
13-Apr,"1,234,681",4.81
14-Apr,"1,295,672",5.04
15-Apr,"1,359,305",5.29
16-Apr,"1,420,577",5.53
17-Apr,"1,474,537",5.74
18-Apr,"1,496,608",5.83
19-Apr,"1,586,252",6.18
20-Apr,"1,653,286",6.44
21-Apr,"1,718,107",6.69
22-Apr,"1,785,698",6.95
23-Apr,"1,855,601",7.22
24-Apr,"1,914,047",7.45
25-Apr,"1,934,087",7.53
26-Apr,"1,937,485",7.54
27-Apr,"1,969,337",7.67
28-Apr,"2,029,544",7.9
29-Apr,"2,112,285",8.22
30-Apr,"2,179,544",8.49
1-May,"2,234,844",8.7
2-May,"2,254,074",8.78
3-May,"2,260,615",8.8
4-May,"2,316,969",9.02
5-May,"2,396,314",9.33
6-May,"2,473,529",9.63
7-May,"2,554,531",9.94
8-May,"2,627,725",10.23
9-May,"2,654,338",10.33
10-May,"2,663,221",10.37
11-May,"2,736,107",10.65
12-May,"2,812,486",10.95
13-May,"2,894,770",11.27
14-May,"2,980,644",11.6
15-May,"3,056,797",11.9
16-May,"3,089,184",12.03
17-May,"3,100,137",12.07
18-May,"3,183,324",12.39
