date,Active Cases,Deaths,Recoveries,Inactives removed
15-Mar,291,6,,0
16-Mar,370,6,,0
17-Mar,448,6,,0
18-Mar,560,7,,0
19-Mar,674,7,28,0
20-Mar,800,8,39,0
21-Mar,"1,013",8,51,0
22-Mar,"1,274",8,70,0
23-Mar,"1,575",8,97,0
24-Mar,"1,928",9,113,0
25-Mar,"2,291",10,129,0
26-Mar,"2,644",14,151,0
27-Mar,"2,962",14,204,0
28-Mar,"3,402",15,223,0
29-Mar,"3,742",17,225,0
30-Mar,"3,940",19,291,0
31-Mar,"4,196",20,345,0
1-Apr,"4,425",21,418,0
2-Apr,"4,540",25,572,0
3-Apr,"4,698",29,635,0
4-Apr,"4,835",31,686,0
5-Apr,"3,342",36,"2,315",0
6-Apr,"3,326",41,"2,432",0
7-Apr,"3,320",49,"2,549",0
8-Apr,"3,157",51,"2,815",0
9-Apr,"3,067",52,"2,989",0
10-Apr,"3,017",55,"3,142",0
11-Apr,"2,979",57,"3,266",0
12-Apr,"2,926",60,"3,338",0
13-Apr,"2,809",62,"3,494",0
14-Apr,"2,753",63,"3,598",0
15-Apr,"2,885",64,"3,688",189
16-Apr,"2,856",64,"3,747",189
17-Apr,"2,829",66,"3,819",189
18-Apr,"2,522",69,"4,163",191
19-Apr,"2,497",71,"4,230",191
20-Apr,"2,481",72,"4,258",191
21-Apr,"2,066",72,"4,695",191
22-Apr,"1,830",75,"4,935",191
23-Apr,"1,727",76,"5,045",191
24-Apr,"1,650",79,"5,136",191
25-Apr,"1,429",81,"5,373",191
26-Apr,"1,277",84,"5,541",191
27-Apr,"1,237",84,"5,588",191
28-Apr,"1,206",85,"5,630",191
29-Apr,"1,174",90,"5,670",191
30-Apr,"1,133",92,"5,717",191
1-May,"1,114",94,"5,747",191
2-May,"1,080",94,"5,796",191
3-May,"1,075",96,"5,817",191
4-May,"1,053",96,"5,863",191
5-May,"1,048",98,"5,890",193
6-May,983,98,"5,979",193
7-May,946,98,"6,038",193
8-May,918,98,"6,084",193
9-May,879,98,"6,137",193
10-May,862,98,"6,166",193
11-May,853,98,"6,182",193
12-May,822,98,"6,233",193
13-May,791,99,"6,274",193
14-May,781,99,"6,299",193
15-May,775,99,"6,336",193
16-May,762,99,"6,366",193
17-May,767,99,"6,369",193
18-May,748,100,"6,396",193
19-May,737,100,"6,415",193
20-May,717,101,"6,445",193
21-May,692,101,"6,472",193
22-May,694,102,"6,480",196
23-May,694,103,"6,492",196
24-May,682,103,"6,507",195
25-May,663,103,"6,530",195
26-May,658,103,"6,551",195
27-May,657,103,"6,558",195
28-May,653,103,"6,580",195
29-May,669,103,"6,580",195
30-May,647,103,"6,613",195
31-May,659,103,"6,611",195
1-Jun,663,103,"6,615",195
2-Jun,675,103,"6,620",195
3-Jun,668,103,"6,635",195
4-Jun,649,103,"6,660",200
5-Jun,644,103,"6,676",200
6-Jun,638,103,"6,684",200
7-Jun,633,103,"6,693",200
8-Jun,634,103,"6,700",198
9-Jun,623,103,"6,714",197
10-Jun,608,103,"6,736",197
11-Jun,309,103,"6,751",301
12-Jun,144,103,"6,773",448
13-Jun,137,103,"6,802",439
14-Jun,128,103,"6,828",440
15-Jun,130,103,"6,841",440
16-Jun,139,103,"6,846",438
17-Jun,152,103,"6,860",434
18-Jun,173,103,"6,860",434
19-Jun,179,103,"6,870",436
20-Jun,197,103,"6,877",437
21-Jun,214,103,"6,885",437
22-Jun,220,103,"6,892",437
23-Jun,224,103,"6,904",439
24-Jun,244,104,"6,913",438
25-Jun,174,104,"6,930",527
26-Jun,195,104,"6,946",527
27-Jun,217,104,"6,967",530
28-Jun,245,104,"6,981",533
29-Jun,304,104,"6,996",540
30-Jun,339,104,"7,023",545
1-Jul,386,104,"7,051",556
2-Jul,431,104,"7,078",565
3-Jul,458,104,"7,116",565
4-Jul,523,104,"7,153",569
5-Jul,563,104,"7,197",572
6-Jul,668,106,"7,218",581
7-Jul,795,106,"7,253",588
8-Jul,887,106,"7,284",595
9-Jul,960,106,"7,372",607
10-Jul,1188,106,"7,432",619
11-Jul,1287,107,"7,519",624
12-Jul,1524,108,"7,523",626
13-Jul,1661,108,"7,564",631
14-Jul,1864,110,"7,630",631
15-Jul,2009,111,"7,723",636
16-Jul,2210,113,"7,831",640
17-Jul,2548,116,"7,912",643
18-Jul,2701,119,"7,955",648
19-Jul,2948,122,"8,066",648
20-Jul,3027,123,"8,188",714
21-Jul,3266,126,"8,336",682
22-Jul,3544,128,"8,445",761
23-Jul,3777,133,"8,564",811
24-Jul,3887,140,"8,718",829
25-Jul,4156,145,"8,804",822
26-Jul,4400,155,"8,957",868
27-Jul,4713,161,"9,098",940
28-Jul,4962,167,"9,218",934
29-Jul,5047,176,"9,407",930
30-Jul,5620,189,"9,541",927
31-Jul,5988,197,"9,765",930
1-Aug,6180,201,"9,982",891
2-Aug,6592,208,"10,206",889
3-Aug,6757,221,"10,403",909
4-Aug,6998,232,"10,577",895
5-Aug,7518,247,"10,721",930
6-Aug,7753,255,"10,926",929
7-Aug,7942,266,"11,128",937
8-Aug,8109,278,"11,367",944
9-Aug,8158,294,"11,680",952
10-Aug,8173,312,"11,949",963
11-Aug,8192,331,"12,200",991
12-Aug,8192,352,"12,587",996
13-Aug,8177,361,"12,809","1,011"
14-Aug,8189,375,"13,158","1,020"
15-Aug,8183,379,"13,442","1,031"
16-Aug,7971,396,"13,893","1,028"
17-Aug,7767,421,"14,346","1,025"
18-Aug,7556,438,"14,736","1,043"
